Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
09/25/2009,1442
09/18/2009,1358
09/11/2009,1482
09/4/2009,1547
08/28/2009,1418
08/21/2009,1497
08/14/2009,1383
08/7/2009,1457
07/31/2009,1380
07/24/2009,1333
07/17/2009,1381
07/10/2009,1449
07/3/2009,1292
06/26/2009,1308
06/19/2009,1498
06/12/2009,1407
06/5/2009,1290
05/29/2009,1248
05/22/2009,1344
05/15/2009,1490
05/8/2009,1441
05/1/2009,1435
04/24/2009,1378
04/17/2009,1433
04/10/2009,1381
04/3/2009,1387
03/27/2009,1485
03/20/2009,1527
03/13/2009,1624
03/6/2009,1385
02/27/2009,1287
02/20/2009,1446
02/13/2009,1278
02/6/2009,1212
01/30/2009,1276
01/23/2009,1441
01/16/2009,1316
01/9/2009,1343
01/2/2009,1482
12/26/2008,1282
12/19/2008,1542
12/12/2008,1520
12/5/2008,1270
11/28/2008,1327
11/21/2008,1492
11/14/2008,1239
11/7/2008,1275
10/31/2008,1299
10/24/2008,1349
10/17/2008,1364
10/10/2008,1495
10/3/2008,1418
09/26/2008,1509
09/19/2008,1447
09/12/2008,1448
09/5/2008,1702
08/29/2008,1493
08/22/2008,1406
08/15/2008,1605
08/8/2008,1674
08/1/2008,1617
07/25/2008,1424
07/18/2008,1421
07/11/2008,1731
07/4/2008,1634
06/27/2008,1704
06/20/2008,1545
06/13/2008,1608
06/6/2008,1536
05/30/2008,1651
05/23/2008,1614
05/16/2008,1709
05/9/2008,1503
05/2/2008,1474
04/25/2008,1473
04/18/2008,1764
04/11/2008,1503
04/4/2008,1534
03/28/2008,1565
03/21/2008,1556
03/14/2008,1575
03/7/2008,1755
02/29/2008,1524
02/22/2008,1527
02/15/2008,1642
02/8/2008,1547
02/1/2008,1569
01/25/2008,1521
01/18/2008,1514
01/11/2008,1584
01/4/2008,1539
12/28/2007,1590
12/21/2007,1578
12/14/2007,1610
12/7/2007,1670
11/30/2007,1520
11/23/2007,1587
11/16/2007,1834
11/9/2007,1641
11/2/2007,1618
10/26/2007,1592
10/19/2007,1561
10/12/2007,1573
10/5/2007,1521
09/28/2007,1555
09/21/2007,1592
09/14/2007,1598
09/7/2007,1513
08/31/2007,1812
08/24/2007,1552
08/17/2007,1641
08/10/2007,1620
08/3/2007,1598
07/27/2007,1608
07/20/2007,1643
07/13/2007,1631
07/6/2007,1672
06/29/2007,1646
06/22/2007,1726
06/15/2007,1731
06/8/2007,1592
06/1/2007,1684
05/25/2007,1655
05/18/2007,1590
05/11/2007,1696
05/4/2007,1632
04/27/2007,1645
04/20/2007,1569
04/13/2007,1664
04/6/2007,1546
03/30/2007,1590
03/23/2007,1518
03/16/2007,1619
03/9/2007,1775
03/2/2007,1569
02/23/2007,1532
02/16/2007,1601
02/9/2007,1764
02/2/2007,1526
01/26/2007,1591
01/19/2007,1589
01/12/2007,1796
01/5/2007,1461
12/29/2006,1517
12/22/2006,1781
12/15/2006,1533
12/8/2006,1621
12/1/2006,1494
11/24/2006,1614
11/17/2006,1453
11/10/2006,1878
11/3/2006,1580
10/27/2006,1622
10/20/2006,1763
10/13/2006,1727
10/6/2006,1734
09/29/2006,1570
09/22/2006,1689
09/15/2006,1537
09/8/2006,1599
09/1/2006,1625
08/25/2006,1644
08/18/2006,1760
08/11/2006,1798
08/4/2006,1612
07/28/2006,1641
07/21/2006,1735
07/14/2006,1689
07/7/2006,1569
06/30/2006,1763
06/23/2006,1682
06/16/2006,1695
06/9/2006,1698
06/2/2006,1505
05/26/2006,1661
05/19/2006,1745
05/12/2006,1610
05/5/2006,1795
04/28/2006,1665
04/21/2006,1735
04/14/2006,1636
04/7/2006,1639
03/31/2006,1626
03/24/2006,1613
03/17/2006,1634
03/10/2006,1596
03/3/2006,1542
02/24/2006,1636
02/17/2006,1621
02/10/2006,1571
02/3/2006,1600
01/27/2006,1560
01/20/2006,1583
01/13/2006,1574
01/6/2006,1626
12/30/2005,1692
12/23/2005,1727
12/16/2005,1694
12/9/2005,1701
12/2/2005,1615
11/25/2005,1577
11/18/2005,1480
11/11/2005,1542
11/4/2005,1595
10/28/2005,1725
10/21/2005,1512
10/14/2005,1720
10/7/2005,1327
09/30/2005,1652
09/23/2005,1598
09/16/2005,1608
09/9/2005,1551
09/2/2005,1850
08/26/2005,1578
08/19/2005,1598
08/12/2005,1670
08/5/2005,1581
07/29/2005,1634
07/22/2005,1585
07/15/2005,1865
07/8/2005,1602
07/1/2005,1774
06/24/2005,1777
06/17/2005,1691
06/10/2005,1705
06/3/2005,1577
05/27/2005,1709
05/20/2005,1691
05/13/2005,1550
05/6/2005,1689
04/29/2005,1626
04/22/2005,1537
04/15/2005,1757
04/8/2005,1535
04/1/2005,1530
03/25/2005,1712
03/18/2005,1737
03/11/2005,1849
03/4/2005,1673
02/25/2005,1813
02/18/2005,1579
02/11/2005,1685
02/4/2005,1524
01/28/2005,1545
01/21/2005,1549
01/14/2005,1517
01/7/2005,1575
12/31/2004,1794
12/24/2004,1598
12/17/2004,1677
12/10/2004,1682
12/3/2004,1659
11/26/2004,1578
11/19/2004,1674
11/12/2004,1670
11/5/2004,1610
10/29/2004,1714
10/22/2004,1505
10/15/2004,1669
10/8/2004,1587
10/1/2004,1528
09/24/2004,1562
09/17/2004,1521
09/10/2004,1629
09/3/2004,1749
08/27/2004,1800
08/20/2004,1873
08/13/2004,1753
08/6/2004,1597
07/30/2004,1646
07/23/2004,1568
07/16/2004,1623
07/9/2004,1676
07/2/2004,1736
06/25/2004,1637
06/18/2004,1753
06/11/2004,1598
06/4/2004,1567
05/28/2004,1539
05/21/2004,1613
05/14/2004,1733
05/7/2004,1535
04/30/2004,1576
04/23/2004,1593
04/16/2004,1503
04/9/2004,1528
04/2/2004,1431
03/26/2004,1604
03/19/2004,1501
03/12/2004,1476
03/5/2004,1798
02/27/2004,1599
02/20/2004,1526
02/13/2004,1677
02/6/2004,1512
01/30/2004,1534
01/23/2004,1835
01/16/2004,1401
01/9/2004,1314
01/2/2004,1703
12/26/2003,1521
12/19/2003,1663
12/12/2003,1740
12/5/2003,1790
11/28/2003,1698
11/21/2003,1684
11/14/2003,1504
11/7/2003,1695
10/31/2003,1614
10/24/2003,1513
10/17/2003,1614
10/10/2003,1783
10/3/2003,1699
09/26/2003,1508
09/19/2003,1439
09/12/2003,1612
09/5/2003,1404
08/29/2003,1678
08/22/2003,1615
08/15/2003,1543
08/8/2003,1790
08/1/2003,1569
07/25/2003,1697
07/18/2003,1687
07/11/2003,1684
07/4/2003,1545
06/27/2003,1455
06/20/2003,1656
06/13/2003,1553
06/6/2003,1497
05/30/2003,1312
05/23/2003,1474
05/16/2003,1544
05/9/2003,1348
05/2/2003,1705
04/25/2003,1309
