PASSENGERS,FREIGHT,MAIL,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_FIPS,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_FIPS,YEAR,QUARTER,MONTH
57,101,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ORD,"Chicago, IL",IL,17,17031,2020,2,4
57,0,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,3
64,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,ORF,"Norfolk, VA",VA,51,51710,2020,1,2
64,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,2,6
66,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SAT,"San Antonio, TX",TX,48,48029,2020,1,2
67,302,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,2,4
70,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PBI,"West Palm Beach, FL",FL,12,12099,2020,1,2
71,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MSY,"New Orleans, LA",LA,22,22071,2020,1,3
75,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,2
79,24,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,1,1
83,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,2
85,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PBI,"West Palm Beach, FL",FL,12,12099,2020,1,3
90,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,1
92,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,2,6
95,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,1
99,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SAT,"San Antonio, TX",TX,48,48029,2020,1,1
112,781,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,2,4
119,657,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,2,4
123,0,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,1
125,389,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,2,4
139,330,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TPA,"Tampa, FL",FL,12,12057,2020,2,4
192,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,HOU,"Houston, TX",TX,48,48201,2020,1,1
193,0,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,2
274,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PBI,"West Palm Beach, FL",FL,12,12099,2020,1,1
287,3382,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,2,4
376,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RSW,"Fort Myers, FL",FL,12,12071,2020,1,3
389,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RSW,"Fort Myers, FL",FL,12,12071,2020,1,1
659,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RSW,"Fort Myers, FL",FL,12,12071,2020,1,2
678,200,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,2,4
807,1812,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,2,5
984,84,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ORD,"Chicago, IL",IL,17,17031,2020,1,3
990,862,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,1,3
1022,5493,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,2,5
1083,119,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,2,6
1355,0,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,DTW,"Detroit, MI",MI,26,26163,2020,1,3
1664,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,1,1
1702,1743,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,2,5
1969,1829,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,2,6
1970,71,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,DTW,"Detroit, MI",MI,26,26163,2020,1,1
2183,609,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,1,3
2451,0,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,DTW,"Detroit, MI",MI,26,26163,2020,1,2
2637,2107,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,1,3
2666,0,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,2,5
2678,209,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ORD,"Chicago, IL",IL,17,17031,2020,1,2
2706,767,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TPA,"Tampa, FL",FL,12,12057,2020,1,3
2725,3846,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,2,6
3637,360,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ORD,"Chicago, IL",IL,17,17031,2020,1,1
3656,64,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,1,2
3792,1807,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,1,3
4234,102,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TPA,"Tampa, FL",FL,12,12057,2020,1,1
4777,1604,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TPA,"Tampa, FL",FL,12,12057,2020,1,2
4867,1734,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,1,3
5209,0,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,2,6
5430,3126,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,2,6
5729,5609,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,1,2
6529,4385,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MDW,"Chicago, IL",IL,17,17031,2020,1,1
6927,4616,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,1,3
7089,100,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,3
9325,809,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,1,1
9633,1662,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,1,1
9716,1570,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,1,2
9736,860,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,1,2
